Item,SalesChannel,OrderPriority
Baby Food,Online,M
Snacks,Offline,C
Beverages,Offline,C
Cereal,Offline,L
Snacks,Offline,C
Personal Care,Offline,L
Clothes,Offline,H
Clothes,Online,M
Clothes,Offline,M
Baby Food,Online,M
Office Supplies,Offline,C
Cosmetics,Online,M
Cereal,Offline,L
Cosmetics,Offline,H
Baby Food,Online,L
Meat,Offline,H
Cereal,Offline,C
Office Supplies,Online,L
Beverages,Online,C
Baby Food,Offline,C
Beverages,Offline,L
Baby Food,Offline,M
Fruits,Online,L
Beverages,Offline,L
Snacks,Offline,L
Cereal,Online,H
Fruits,Offline,L
Office Supplies,Online,M
Baby Food,Online,M
Snacks,Online,C
Cosmetics,Offline,H
Clothes,Offline,M
Clothes,Online,H
Meat,Online,L
Fruits,Online,H
Cereal,Online,M
Cosmetics,Offline,C
Vegetables,Offline,L
Personal Care,Online,L
Clothes,Offline,L
Meat,Online,L
Personal Care,Offline,L
Meat,Online,L
Snacks,Online,C
Baby Food,Offline,M
Office Supplies,Offline,C
Cosmetics,Offline,M
Household,Offline,M
Beverages,Online,H
Baby Food,Online,M
Snacks,Online,M
Office Supplies,Online,H
Office Supplies,Online,H
Household,Offline,H
Clothes,Offline,M
Vegetables,Offline,H
Clothes,Online,M
Personal Care,Offline,H
Cereal,Offline,L
Meat,Online,M
Cereal,Online,L
Beverages,Online,L
Baby Food,Online,C
Vegetables,Offline,H
Household,Online,H
Baby Food,Online,M
Snacks,Online,C
Beverages,Online,H
Clothes,Offline,H
Beverages,Online,M
Clothes,Offline,M
Meat,Offline,M
Meat,Online,H
Baby Food,Offline,C
Beverages,Online,C
Office Supplies,Online,H
Fruits,Online,M
Office Supplies,Online,L
Household,Online,H
Household,Online,M
Baby Food,Offline,H
Office Supplies,Online,H
Cereal,Online,H
Household,Online,H
Cosmetics,Online,H
Cosmetics,Online,C
Meat,Online,H
Meat,Offline,M
Beverages,Online,L
Beverages,Offline,H
Cereal,Online,H
Office Supplies,Online,H
Office Supplies,Online,M
Snacks,Online,H
Cereal,Online,C
Household,Offline,L
Beverages,Offline,L
Fruits,Online,L
Household,Offline,C
Meat,Online,L
Household,Online,L
Vegetables,Offline,C
Cosmetics,Online,L
Cereal,Offline,H
Beverages,Online,C
Fruits,Offline,L
Personal Care,Offline,M
Household,Online,M
Clothes,Offline,L
Fruits,Online,H
Vegetables,Online,M
Office Supplies,Offline,M
Office Supplies,Offline,H
Personal Care,Online,M
Personal Care,Offline,M
Household,Offline,H
Fruits,Offline,M
Office Supplies,Offline,M
Personal Care,Online,L
Office Supplies,Online,L
Office Supplies,Offline,H
Baby Food,Offline,H
Office Supplies,Online,C
Cosmetics,Online,C
Cereal,Online,M
Personal Care,Online,L
Meat,Offline,M
Beverages,Offline,C
Meat,Offline,L
Vegetables,Online,H
Snacks,Online,H
Beverages,Online,C
Beverages,Online,M
Meat,Offline,M
Snacks,Online,H
Meat,Online,L
Meat,Online,C
Fruits,Online,M
Personal Care,Offline,M
Clothes,Online,M
Meat,Online,M
Snacks,Offline,L
Office Supplies,Online,C
Baby Food,Online,H
Cosmetics,Online,L
Meat,Offline,L
Office Supplies,Online,C
Office Supplies,Offline,C
Household,Offline,C
Meat,Online,L
Beverages,Online,H
Fruits,Offline,M
Cosmetics,Offline,C
Beverages,Online,L
Cereal,Online,C
Household,Online,H
Cereal,Online,C
Cereal,Online,C
Cosmetics,Offline,H
Snacks,Offline,H
Office Supplies,Online,L
Cosmetics,Online,H
Vegetables,Offline,L
Cereal,Online,C
Office Supplies,Offline,L
Office Supplies,Online,L
Snacks,Online,C
Household,Offline,H
Meat,Online,M
Cereal,Online,H
Beverages,Offline,L
Household,Offline,H
Household,Online,M
Fruits,Online,L
Clothes,Online,C
Office Supplies,Offline,L
Cosmetics,Online,M
Vegetables,Online,L
Personal Care,Offline,L
Baby Food,Online,M
Vegetables,Offline,L
Vegetables,Offline,C
Personal Care,Online,H
Snacks,Online,M
Vegetables,Online,C
Household,Offline,H
Cereal,Offline,H
Beverages,Online,M
Vegetables,Offline,M
Office Supplies,Offline,C
Cosmetics,Offline,H
Personal Care,Offline,H
Personal Care,Offline,H
Snacks,Offline,H
Cereal,Online,L
Cereal,Offline,C
Fruits,Online,H
Cosmetics,Offline,L
Cosmetics,Online,C
Household,Offline,H
Household,Offline,M
Household,Offline,M
Meat,Online,H
Vegetables,Online,C
Baby Food,Offline,C
Meat,Offline,L
Office Supplies,Online,C
Personal Care,Offline,H
Meat,Online,L
Snacks,Offline,M
Baby Food,Offline,L
Office Supplies,Offline,L
Vegetables,Offline,C
Baby Food,Online,C
Personal Care,Online,M
Cosmetics,Offline,C
Household,Online,M
Cosmetics,Offline,L
Vegetables,Offline,C
Baby Food,Online,L
Snacks,Offline,M
Meat,Online,C
Office Supplies,Offline,M
Cosmetics,Online,C
Baby Food,Online,C
Vegetables,Offline,C
Cosmetics,Online,C
Beverages,Offline,L
Office Supplies,Offline,C
Clothes,Online,M
Clothes,Online,M
Office Supplies,Offline,H
Fruits,Offline,M
Cereal,Online,L
Office Supplies,Online,C
Snacks,Online,M
Clothes,Offline,M
Meat,Online,L
Vegetables,Online,L
Meat,Online,M
Cereal,Offline,H
Fruits,Online,H
Clothes,Offline,H
Personal Care,Offline,C
Personal Care,Offline,M
Meat,Offline,L
Snacks,Online,C
Vegetables,Offline,M
Vegetables,Online,H
Office Supplies,Online,L
Snacks,Online,C
Beverages,Online,M
Household,Online,C
Office Supplies,Offline,L
Baby Food,Online,H
Personal Care,Offline,M
Clothes,Online,H
Personal Care,Offline,M
Personal Care,Offline,L
Meat,Offline,M
Snacks,Offline,H
Cereal,Offline,H
Household,Offline,H
Beverages,Offline,H
Cereal,Online,C
Fruits,Offline,L
Personal Care,Offline,H
Cosmetics,Online,C
Clothes,Offline,M
Vegetables,Online,H
Personal Care,Offline,M
Fruits,Online,M
Baby Food,Offline,C
Vegetables,Online,L
Clothes,Online,C
Personal Care,Online,C
Cosmetics,Online,H
Clothes,Online,H
Vegetables,Offline,C
Fruits,Online,L
Vegetables,Online,M
Personal Care,Online,L
Household,Offline,M
Personal Care,Online,H
Snacks,Offline,M
Cereal,Online,M
Beverages,Offline,H
Household,Offline,C
Snacks,Offline,M
Personal Care,Offline,C
Fruits,Offline,M
Beverages,Offline,C
Meat,Offline,L
Fruits,Offline,L
Beverages,Online,M
Vegetables,Offline,C
Cosmetics,Online,L
Fruits,Online,L
Cereal,Online,L
Fruits,Online,C
Baby Food,Offline,L
Beverages,Online,L
Cereal,Online,L
Snacks,Online,M
Cosmetics,Online,C
Vegetables,Online,H
Baby Food,Offline,H
Vegetables,Online,C
Baby Food,Offline,M
Clothes,Offline,L
Fruits,Online,H
Baby Food,Offline,L
Personal Care,Online,L
Meat,Online,M
Snacks,Online,H
Cereal,Offline,C
Fruits,Offline,M
Personal Care,Online,L
Cereal,Online,L
Household,Offline,M
Cosmetics,Offline,H
Meat,Offline,H
Cosmetics,Online,L
Cereal,Offline,H
Meat,Online,M
Fruits,Online,H
Office Supplies,Offline,L
Meat,Offline,M
Personal Care,Offline,L
Cereal,Offline,M
Snacks,Offline,M
Cereal,Online,C
Personal Care,Online,M
Vegetables,Online,H
Beverages,Offline,H
Cosmetics,Offline,C
Household,Offline,M
Cereal,Online,H
Household,Offline,M
Beverages,Offline,L
Cosmetics,Online,C
Personal Care,Offline,C
Vegetables,Offline,C
Personal Care,Online,L
Cosmetics,Offline,L
Cosmetics,Offline,H
Fruits,Offline,H
Vegetables,Online,H
Baby Food,Online,L
Beverages,Offline,C
Meat,Offline,H
Office Supplies,Offline,M
Snacks,Offline,M
Cereal,Online,M
Office Supplies,Online,M
Baby Food,Online,H
Snacks,Offline,M
Baby Food,Offline,H
Cosmetics,Online,M
Office Supplies,Offline,L
Vegetables,Offline,H
Household,Online,C
Beverages,Offline,L
Clothes,Offline,L
Meat,Online,M
Meat,Online,H
Baby Food,Online,C
Vegetables,Offline,L
Meat,Online,H
Personal Care,Online,H
Personal Care,Offline,H
Vegetables,Online,H
Personal Care,Offline,L
Fruits,Online,H
Snacks,Online,L
Beverages,Offline,M
Cereal,Offline,L
Household,Offline,L
Baby Food,Offline,M
Office Supplies,Online,M
Baby Food,Online,M
Baby Food,Offline,C
Vegetables,Online,H
Baby Food,Offline,M
Clothes,Online,C
Personal Care,Online,H
Baby Food,Offline,H
Snacks,Offline,H
Office Supplies,Offline,C
Meat,Offline,M
Fruits,Offline,L
Cosmetics,Offline,C
Vegetables,Offline,C
Cereal,Offline,M
Vegetables,Offline,H
Fruits,Offline,M
Household,Offline,L
Meat,Offline,H
Office Supplies,Offline,H
Fruits,Online,C
Personal Care,Online,H
Beverages,Offline,H
Clothes,Online,M
Meat,Online,M
Vegetables,Online,L
Household,Online,C
Personal Care,Online,C
Cereal,Offline,C
Cosmetics,Online,H
Beverages,Online,C
Baby Food,Offline,H
Fruits,Online,L
Vegetables,Online,M
Beverages,Offline,C
Vegetables,Online,L
Vegetables,Online,H
Baby Food,Online,L
Snacks,Online,C
Snacks,Online,M
Office Supplies,Online,C
Vegetables,Offline,C
Snacks,Online,H
Household,Offline,C
Clothes,Offline,C
Household,Offline,H
Fruits,Online,M
Baby Food,Offline,C
Meat,Online,C
Cereal,Online,M
Fruits,Offline,C
Cosmetics,Offline,L
Baby Food,Offline,H
Baby Food,Offline,L
Cereal,Offline,L
Fruits,Offline,L
Meat,Offline,L
Office Supplies,Online,H
Beverages,Online,L
Personal Care,Offline,L
Baby Food,Online,M
Household,Online,C
Baby Food,Online,C
Vegetables,Offline,H
Beverages,Offline,M
Baby Food,Online,L
Personal Care,Online,L
Clothes,Offline,H
Office Supplies,Online,C
Meat,Offline,L
Snacks,Offline,M
Baby Food,Offline,H
Clothes,Offline,L
Personal Care,Online,C
Baby Food,Online,C
Vegetables,Offline,L
Cereal,Online,L
Fruits,Offline,M
Fruits,Online,M
Baby Food,Offline,H
Personal Care,Offline,H
Beverages,Online,M
Snacks,Offline,L
Cosmetics,Offline,M
Personal Care,Online,H
Household,Offline,M
Baby Food,Online,H
Cereal,Online,M
Fruits,Online,L
Clothes,Online,C
Baby Food,Online,M
Beverages,Offline,M
Clothes,Offline,L
Office Supplies,Offline,C
Beverages,Online,C
Beverages,Offline,M
Office Supplies,Offline,H
Beverages,Offline,H
Cereal,Online,H
Office Supplies,Online,H
Office Supplies,Offline,H
Vegetables,Online,H
Household,Offline,C
Office Supplies,Online,C
Beverages,Offline,C
Baby Food,Offline,M
Beverages,Offline,M
Vegetables,Offline,C
Cosmetics,Online,M
Cosmetics,Offline,H
Baby Food,Online,M
Fruits,Offline,L
Office Supplies,Offline,M
Beverages,Offline,L
Fruits,Offline,H
Office Supplies,Offline,L
Beverages,Offline,H
Household,Offline,L
Clothes,Offline,L
Cosmetics,Online,L
Snacks,Offline,M
Office Supplies,Online,H
Snacks,Online,L
Personal Care,Online,L
Vegetables,Offline,L
Meat,Offline,M
